Name,Age,Yrs,Acquired,SrvTm,Agent,Contract Status,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031
Bryce Harper\harpebr03,28,10,Free Agency,8.159,Scott Boras,13 yrs/$330M (19-31),$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$27.54M,$23.54M,$23.54M,$23.54M
Zack Wheeler\wheelza01,31,7,Free Agency,7.098,Jet Sports Manage...,5 yrs/$118M (20-24),$22.5M,$26M,$24.5M,$23.5M,FA,,,,,,
J.T. Realmuto\realmjt01,30,8,Free Agency,6.038,CAA Sports,5 yrs/$115.5M (21-25),$20M,$23.88M,$23.88M,$23.88M,$23.88M,FA,,,,,
Jean Segura\segurje01,31,10,Traded,8.065,CAA Sports,5 yrs/$70M (18-22) & 23 team option,$14.85M,$14.85M,$1M [FA-*],FA,,,,,,,
Andrew McCutchen\mccutan01,34,13,Free Agency,11.123,Steve Hammond,3 yrs/$50M (19-21) & 22 team option,$20M,$3M [FA-*],FA,,,,,,,,
Scott Kingery\kingesc01,27,4,Amateur Draft,3.000,PSI Sports Manage...,6 yrs/$24M (18-23) & 24-26 team option,$4.25M,$6.25M,$8.25M,$1M [FA-*],$0 [FA-*],$0 [FA-*],FA,,,,
Aaron Nola\nolaaa01,28,7,Amateur Draft,5.076,Paragon Sports In...,4 yrs/$45M (19-22) & 23 team option,$12.25M,$15.5M,$4.25M [FA-*],FA,,,,,,,
Odubel Herrera\herreod01,29,6,Rule 5 Draft,4.088,Victor Tranquillo...,5 yrs/$30.5M (17-21) & 22-23 team option,$10.35M,$2.5M [Arb-*],$0 [FA-*],FA,,,,,,,
Didi Gregorius\gregodi01,31,10,Free Agency,7.159,Excel Sports Mana...,2 yrs/$28M (21-22),$12.75M,$15.25M,FA,,,,,,,,
Archie Bradley\bradlar01,28,7,Free Agency,5.112,BBI Sports Group,1 yr/$6M (21),$6M,FA,,,,,,,,,
Hector Neris\nerishe01,32,8,Amateur Free Agent,5.068,Octagon,1 yr/$5M (21),$5M,FA,,,,,,,,,
Rhys Hoskins\hoskirh01,28,5,Amateur Draft,3.053,Scott Boras,1 yr/$4.8M (21),$4.8M,Arb,Arb,FA,,,,,,,
Zach Eflin\eflinza01,27,6,Traded,4.018,Tom O'Connell,1 yr/$4.45M (21),$4.45M,Arb,FA,,,,,,,,
Chase Anderson\anderch01,33,8,Free Agency,6.146,Hub Sports Manage...,1 yr/$4M (21),$4M,FA,,,,,,,,,
Vince Velasquez\velasvi01,29,7,Traded,5.086,Paragon Sports In...,1 yr/$4M (21),$4M,FA,,,,,,,,,
Brad Miller\millebr02,31,9,Free Agency,7.004,ISE Baseball,1 yr/$3.5M (21),$3.5M,FA,,,,,,,,,
Andrew Knapp\knappan01,29,5,Amateur Draft,4.000,Sosnick Cobbe & K...,1 yr/$1.1M (21),$1.1M,Arb,FA,,,,,,,,
Jose Alvarado\alvarjo03,26,5,Traded,3.088,,1 yr/$1M (21),$1M,Arb,Arb,FA,,,,,,,
David Hale\haleda02,33,8,Traded,3.163,,1 yr/$850k (21),$850k,Arb,Arb,FA,,,,,,,
Seranthony Dominguez\dominse01,26,2,Amateur Free Agent,2.147,,1 yr/$728k (21),$728k,Arb,Arb,Arb,FA,,,,,,
Brady Lail\lailbr01,27,3,,0.154,,1 yr/$100k (21),$100k,Pre-Arb,Arb,Arb,Arb,Arb,FA,,,,
Matt Joyce\joycema01,36,14,Free Agency,11.123,ACES,1 yr/$100k (21),$100k,FA,,,,,,,,,
Brandon Kintzler\kintzbr01,36,12,Free Agency,9.003,Kevin Kohler,1 yr/$100k (21),$100k,FA,,,,,,,,,
Travis Jankowski\jankotr01,30,7,Free Agency,4.073,Excel Sports Mana...,1 yr/$100k (21),$100k,Arb,FA,,,,,,,,
Bryan Mitchell\mitchbr01,30,5,,3.054,,1 yr/$100k (21),$100k,Arb,Arb,FA,,,,,,,
David Paulino\paulida01,27,3,,0.144,Optimum Baseball,1 yr/$100k (21),$100k,Pre-Arb,Pre-Arb,Arb,Arb,Arb,FA,,,,
Matt Moore\moorema02,32,10,Free Agency,8.000,Sosnick Cobbe & K...,,FA,,,,,,,,,,
Neftali Feliz\felizne01,33,9,,7.129,Reynolds Sports (...,,FA,,,,,,,,,,
Ruben Tejada\tejadru01,31,9,,6.004,Rep 1 Baseball,,FA,,,,,,,,,,
Ronald Torreyes\torrero01,28,7,Free Agency,3.006,,,Arb,,Arb,FA,,,,,,,
Adam Haseley\haselad01,25,3,Amateur Draft,1.118,,,,,Arb,Arb,Arb,FA,,,,,
Roman Quinn\quinnro01,28,5,Amateur Draft,2.088,Reynolds Sports,,,,Arb,Arb,FA,,,,,,
Jorge Bonifacio\bonifjo01,28,4,,2.041,ISE Baseball,,,,Arb,Arb,FA,,,,,,
Ranger Suarez\suarera01,25,4,Amateur Free Agent,1.124,,,,,Arb,Arb,Arb,FA,,,,,
Sam Coonrod\coonrsa01,28,3,Traded,1.078,Wasserman,,,,Arb,Arb,Arb,FA,,,,,
Ryan Cordell\cordery01,29,3,,1.055,,,,,Arb,Arb,Arb,FA,,,,,
Spencer Howard\howarsp01,24,2,Amateur Draft,0.139,,,,,,Arb,Arb,Arb,FA,,,,
Alec Bohm\bohmal01,24,2,Amateur Draft,0.128,,,,,,Arb,Arb,Arb,FA,,,,
Enyel De Los Santos\delosen01,25,3,Traded,0.064,,,,,,Arb,Arb,Arb,FA,,,,
JoJo Romero\romerjo01,24,2,Amateur Draft,0.117,,,,,,Arb,Arb,Arb,FA,,,,
Ramon Rosso\rossora01,25,2,Free Agency,0.097,,,,,,Arb,Arb,Arb,FA,,,,
Rafael Marchan\marchra01,22,2,Amateur Free Agent,0.042,,,,,,Arb,Arb,Arb,FA,,,,
Connor Brogdon\brogdco01,26,2,Amateur Draft,0.081,,,,,,Arb,Arb,Arb,FA,,,,
Rob Kaminsky\kaminro01,26,1st,,0.069,,,,,,Arb,Arb,Arb,FA,,,,
J.D. Hammer\hammejd01,26,1st,Traded,0.057,,,,,,Arb,Arb,Arb,FA,,,,
Mickey Moniak\moniami01,23,2,Amateur Draft,0.025,,,,,,Arb,Arb,Arb,FA,,,,
Mauricio Llovera\llovema01,25,1st,Amateur Free Agent,0.006,,,,,,Arb,Arb,Arb,FA,,,,
Adonis Medina\medinad01,24,1st,Amateur Free Agent,0.003,,,,,,Arb,Arb,Arb,FA,,,,
